Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Information and communication,Appointment of A Service Provider For SAP Enterprise Support And Maintenance Agreement For A Period of Five (5) Years. Compulsory Virtual Briefing Session Will Be Held On 25 August 2023 At 10ham,18/08/2023,RFP 2793-2023,State Information Technology Agency,Request for Proposal,Gauteng,18.08.2023,12.09.2023,167 Thabo Sehume Street - Pretoria - Pretoria - 0052,N/A,Mogau Sebothoma,mogau.sebothoma@sita.co.za,012-482-2006,N/A,Yes,Yes,"Friday, 25 August 2023 - 10:00",Via Teams,"https://www.etenders.gov.za/home/Download/?blobName=936fcead-8344-4fb8-9035-10991ff94e50.docx&downloadedFileName=Annexure+1+-+Bid+Specification+-+RFP+2793-2023.docx, https://www.etenders.gov.za/home/Download/?blobName=6690ea41-8e2b-4667-8091-2574b01f388f.pdf&downloadedFileName=Invitation+Letter+-+RFP+2793-2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=b9d77af8-03eb-4322-a686-5d28c1a29f76.xlsx&downloadedFileName=Price+Schedule_RFP+2793-2023.xlsx, https://www.etenders.gov.za/home/Download/?blobName=1918b230-5211-4948-b172-5fb6b0c4f6df.docx&downloadedFileName=ANNEX+C_MSA-SAP+Enterprise+Support_F02.docx, https://www.etenders.gov.za/home/Download/?blobName=8c06ca01-4e4d-44d2-988a-68f161cf0852.pdf&downloadedFileName=ANNEX+D_SAP+Partner+Certificate+%28Sample%29+Example.pdf, https://www.etenders.gov.za/home/Download/?blobName=6df87c0a-7244-4769-8f08-8e61cdaeecf3.pdf&downloadedFileName=ANNEX+E_MAF+Letter+%28Sample%29+Example.pdf, https://www.etenders.gov.za/home/Download/?blobName=8a8e6245-6c6e-4582-ad7c-c3fc3f79849f.docx&downloadedFileName=Invitation+to+bid+document+-+RFP+2793-2023.docx"
Services: Professional,ESTABLISHMENT OF A PANEL OF SUITABLY QUALIFIED SERVICE PROVIDERS TO PROVIDE DUE DILIGENCE SERVICES FOR KZN GROWTH FUND TRUST FOR 3 YEARS,18/08/2023,KGFT RFP 20223- 04,KZN Growth Fund Trust,Request for Proposal,KwaZulu-Natal,18.08.2023,15.09.2023,303 Dr. Pixley Kaseme Street - Durban - Durban - 4001,N/A,Xolani Nhlapo,scm@kzngf.co.za,031-372-3720,N/A,Yes,Yes,"Thursday, 24 August 2023 - 11:00",Method: Online via Teams Meeting ID: 394 005 242 638 Password: Pj5nJL,https://www.etenders.gov.za/home/Download/?blobName=f093b901-f3a4-4e51-bdd8-938c7147bbb2.pdf&downloadedFileName=KGFT+RFP+2023-04+Due+Diligence+Panel_Final.pdf
Construction,Construction Of 20ML Carlswald Reservoir,18/08/2023,JW 14302,Johannesburg Water,Request for Bid(Open-Tender),Gauteng,18.08.2023,22.09.2023,65 NTEMI PILISO STREET - NEWTOWN - JOHANNESBURG - 2001,PLEASE SEE THE ATTACHED TENDER DOCUMENT,SIJABULISO TSHUMA,SIJABULISO.TSHUMA@JWATER.CO.ZA,011-688-1570,011-688-1556,Yes,Yes,"Tuesday, 29 August 2023 - 12:00","Carlswald Reservoir 10 Walton Avenue, Carlswald, Midrand. 25°58'50.51""S, 28°  5'19.82""E (- 25.980841",https://www.etenders.gov.za/home/Download/?blobName=b0541bd2-ac87-4fef-bad0-03dd29435130.pdf&downloadedFileName=Advert+18+August+2023.pdf
Construction,"CARNAVON, WILLISTON & BRITSTOWN DOJ:  Cluster 5.  Installation of generators at various magistrate offices.",18/08/2023,KIM06/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,08.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",N/A,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=1af922be-ee5c-4be1-80fc-8249e6471584.pdf&downloadedFileName=KIM06.2023+Part+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=5cd3ddd5-e41f-421b-a47e-975abfea9223.pdf&downloadedFileName=KIM06.2023+Part+1.pdf"
Other service activities,RFI-FAIR VALUATION OF NON-HERITAGE ASSETS FOR COMPLIANCE TO THE GENERALLY RECOGNISED ACCOUNTING STANDARD,18/08/2023,RFI-NLSA009,National Library of South Africa,Request for Information,Gauteng,18.08.2023,08.09.2023,"NLSA,228 Johannes Ramokhoase street - City - Pretoria - 0001",N/A,Patience Shiburi,patience.shiburi@nlsa.ac.za,012-401-9770,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=6f10d031-7179-4f4a-affd-1b0b0b441e08.pdf&downloadedFileName=Request+for+Information+-+fair+valuation+of+non-heritage+assets.pdf
Services: Professional,FA PLATFORM LINK,18/08/2023,CTT25578,PetroSA,Request for Proposal,Western Cape,18.08.2023,11.09.2023,DUINZIGHT AVENUE  - MOSSEL BAY  - MOSSEL BAY  - 6500,N/A,HENNIE FORTUIN,martinhennie.fortuin@petrosa.co.za,021-929-3211,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=52ea79ae-5b0b-473b-922c-511b567a6aa2.pdf&downloadedFileName=Scope+of+Work+-+FA+Platform+Link.pdf
Construction,"DE AAR, HANOVER, NOUPOORT, PHILLIPSTOWN AND RICHMOND DOJ:  Cluster 6.  Installation of generators at various magistrate offices.",18/08/2023,KIM07/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,08.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",N/A,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,Yes,Yes,"Friday, 25 August 2023 - 10:00","21-23 Market Street, Old Magistrate Office, Kimberley.","https://www.etenders.gov.za/home/Download/?blobName=7eba5c4a-9bdc-4177-9820-4996a92a2ff4.pdf&downloadedFileName=KIM07.2023+Part+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=3affaf2e-5338-4e42-8450-7edad609c4e6.pdf&downloadedFileName=KIM07.2023+Part+1.pdf"
Construction,PORT  NOLLOTH AND KENHARDT DOJ:  Cluster 1.  Installation of generators at various magistrate offices.,18/08/2023,KIM08/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,08.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",N/A,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,Yes,Yes,"Friday, 25 August 2023 - 11:00","21-23 Market Street, Old Magistrate Office, Kimberley.","https://www.etenders.gov.za/home/Download/?blobName=9e6135c8-a101-46bc-9dd0-00de59d26d46.pdf&downloadedFileName=KIM08.2023+Part+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=892cc3cc-8ad4-4b36-968e-324bfa8884c0.pdf&downloadedFileName=KIM08.2023+Part+1.pdf"
Services: Functional (Including Cleaning and Security Services),KIMBERLEY REGIONAL OFFICE AND WORKSHOPS:  Provisioning of security services for 36 months on a month to month basis,18/08/2023,SM23/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,08.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",N/A,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=3b92abb7-284d-4a88-80b8-442c34d1c9ff.pdf&downloadedFileName=SM23.2023.pdf
Advertising and market research,PROVISION FOR PUBLICATION OF AN ADVERTISEMENT,18/08/2023,IYM09/08/2023Q,Inxuba Yethemba Local Municipality,Request for Quotation,Eastern Cape,18.08.2023,25.08.2023,NO 1 J A Calata - cradock - cradock - 5880,N/A,Ms T Petelo,tpetelo@iym.gov.za,048-801-5059,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=1462c497-a299-487a-9aec-e681499a2973.pdf&downloadedFileName=CFO+Advert+1.pdf
"Other professional, scientific and technical activities",supply and delivery of Sodium Chloride at the SABS.,18/08/2023,RFQ/20/9BB,SA Bureau of Standards,Request for Quotation,Gauteng,18.08.2023,22.08.2023,DR Lategan Road - Pretoria - Pretoria - 0001,N/A,Dieketseng Kabini,Dieketseng.Kabini2@sabs.co.za,012-428-6111,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=33c91eef-3b81-40e4-aed6-4c60b2f3579f.pdf&downloadedFileName=RFQ209BB+Supply+and+delivery+of+sodium+chloride+at+the+SABS.pdf
Services: Professional,To Provide Application Support for the Microsoft Sharepoint Solution for a Period of Thirty Six Months (36),18/08/2023,JWIT004/22R,Johannesburg Water,Request for Bid(Open-Tender),Gauteng,18.08.2023,21.09.2023,"NTEMI PILISO STREET - TURBINE HALL, NEW TOWN - JOHANNESBURG - 2000",N/A,John Sangweni,john.sangweni@jwater.co.za,011-688-6575,011-688-6575,Yes,Yes,"Monday, 28 August 2023 - 11:00","Ntemi Piliso Street, Johannesburg Water, Auditorium",https://www.etenders.gov.za/home/Download/?blobName=c392edeb-7885-4c79-82a0-600a8f06af67.pdf&downloadedFileName=Advert+18+August+2023.pdf
Services: Professional,KIMBERLEY EMPLOYMENT ENTERPRISE:  Repair and refurbishment. Architect Services,18/08/2023,COK32/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,01.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",Architect Services,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=939413bd-6654-4dbe-80b1-eaecf5181e8d.pdf&downloadedFileName=COK32.2023.pdf
Services: Professional,KIMBERLEY EMPLOYMENT ENTERPRISE:  Repair and refurbishment. Quantity Surveyor,18/08/2023,COK33/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,01.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",Quantity Surveyor,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=3f728d84-07ad-4a49-83c3-c3c5df4df20e.pdf&downloadedFileName=COK33.2023.pdf
Manufacture of electrical equipment,Expression of Interest (EOI) For the supply of Spherical Metal Powders with size distribution between 45 µm and 100 µm for additive manufacturing and other welding process,18/08/2023,CSIR EOI 8079/01/09/2023,Council for Scientific and Industrial Research (CSIR),Expression of interest,National,18.08.2023,01.09.2023,627 Meiring Naude - Pretoria - Pretoria - 0081,N/A,SCM,tender@csir.co.za,012-841-2911,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a97be0c9-345d-4f00-a570-86605e330ff1.pdf&downloadedFileName=CSIR+EOI+No+8079-01-09-2023.pdf
Supplies: Electrical Equipment,"SUPPLY AND DELIVERY OF ELECTRICAL SPARES, DRIVES AND EQUIPMENT FOR A PERIOD OF THREE (3) YEARS",18/08/2023,JGDM2023/24-004,Joe Gqabi District Municipality,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,04.09.2023,CNR COLE AND GRAHAM STREET - BARKLY EAST - BARKLY EAST - 9786,N/A,KEITUMETSE SEBOKO,keitu@jgdm.gov.za,045-979-3145,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d8257017-648f-4464-9871-ba2d219f01cc.pdf&downloadedFileName=ELECTRICAL+SPARES+-+JGDM202324-004.pdf
Services: Professional,UPINGTON DCS:  Repairs and renovations of the building and related services.  Architect,18/08/2023,CQK34/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,01.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",Architect,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e5a675cb-388b-40d0-b4fc-20b8507cdead.pdf&downloadedFileName=CQK34.2023.pdf
Supplies: General,Supply & delivery of Phytophthora lateral flow test,18/08/2023,REQ - 073891,Agricultural Research Council,Request for Quotation,Gauteng,18.08.2023,25.08.2023,KwaMhlanga / Moloto Road R573 - Pretoria - Roodeplaat - 0002,"Please send a picture of the item you quoted us on for your quotation to be considered, 

DON'T SEND ANY OTHER SUPPORTING DOCUMENTS OTHER THAN THE ONES REQUESTED

I receive a high volume of emails and I might not see yours, please be advised anything you need to know about this RFQ is clearly stated.
When submitting your quotation, please also submit the following documents only, for your quotation to be considered.
SBD4 & SBD 6.1 ( Page 5 - 13, PDF)
SARS Tax Pin (PDF)
Proof of CSD",Pearl Ramabodu,ramabodup@arc.agric.za,012-808-8000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=47afc3eb-cbb0-4228-a6c6-b3922d33c9f5.pdf&downloadedFileName=REQ+-+073891.pdf
Services: Professional,UPINGTON DCS:  Repairs and renovations of the building and related services.  Quantity Surveyor,18/08/2023,CQK35/2023,Public Works,Request for Bid(Open-Tender),Northern Cape,18.08.2023,01.09.2023,"21- 23 Market Street, Old Magistrate Office - Kimberley - Kimberley - 8300",Quantity Surveyor,Ms G Aysen,gail.aysen@dpw.gov.za,053-838-5221,N/A,Yes,Yes,,,https://www.etenders.gov.za/home/Download/?blobName=dc284201-0ab9-4a1a-9522-ae39ca93fde8.pdf&downloadedFileName=CQK35.2023.pdf
Construction,Ngwelezane Hospital: Construction of new orthotics and prosthetics Centre with parking area,18/08/2023,ZNTU04138W: Wims 070638,Kwazulu Natal - Public Works (Head Office),Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,12.09.2023,Ngwelezane Hospital - Durban - Durban - 4000,N/A,Hanke Gorny,hanke.gorny@kznworks.gov.za,033-355-5463,000-000-0000,Yes,Yes,"Wednesday, 30 August 2023 - 11:00",Ngwelezane Hospital: Administration Block boardroom,"https://www.etenders.gov.za/home/Download/?blobName=0b96b833-4a8a-4c70-864f-063667cdc7e4.pdf&downloadedFileName=Volume+2+-+Ngwelezane+Hospital+%28ZNTU04138W%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=4e1b0921-87e2-4a2c-ab7e-09a8a5ef2ee2.pdf&downloadedFileName=20013_201_4_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=c15daf2c-79e4-42f4-83cd-10a0d80af30b.pdf&downloadedFileName=20013_408_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=3ef34025-f613-400b-aca6-11bff506d613.pdf&downloadedFileName=P21051-PD-MEC-104-REV+0E+-+GROUND+FLOOR+3D+HVAC+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=d35d9fe3-e5bf-4d22-b371-1ff3e5faaa56.pdf&downloadedFileName=Volume+1+-+Ngwelezane+Hospital+%28ZNTU04138W%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=4df5f12b-d3d2-4883-b85a-254622f98da0.pdf&downloadedFileName=20013_900_4_B.pdf, https://www.etenders.gov.za/home/Download/?blobName=d2f47c74-b515-4b2f-ab00-26002977fc65.pdf&downloadedFileName=20013_100_4_G.pdf, https://www.etenders.gov.za/home/Download/?blobName=fa8ae1a4-e1c3-4172-bcca-2847cf3a3168.pdf&downloadedFileName=20013_200_4_H.pdf, https://www.etenders.gov.za/home/Download/?blobName=85e54b3e-959d-40d0-b5bb-292050a911ef.pdf&downloadedFileName=20013_405_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=017f54c9-c25e-4c2a-8c02-3731b372f502.pdf&downloadedFileName=20013_508_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=3550317d-45e6-4295-8e66-3a0de1c415d6.pdf&downloadedFileName=20013_600_0+-+Luminaire+Schedule.pdf, https://www.etenders.gov.za/home/Download/?blobName=5f166786-db55-480d-aee2-3e61901db82b.pdf&downloadedFileName=20013_406_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=85c543ed-34de-4a3f-b07b-42473afe6ffa.pdf&downloadedFileName=20013_001_4_H.pdf, https://www.etenders.gov.za/home/Download/?blobName=cb4d3b8b-2573-4f48-8ba5-47abb8863cd9.pdf&downloadedFileName=20013_401_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=c1228798-2412-4d9e-b264-4acd4b894d0f.pdf&downloadedFileName=P21051-PD-FIR-202-REV+0A+-+FIRE+PROTECTION+SITE+PLAN.pdf, https://www.etenders.gov.za/home/Download/?blobName=ecf91dcb-ba4b-4699-b76e-5c621b7fd346.pdf&downloadedFileName=20013_400_A.pdf, https://www.etenders.gov.za/home/Download/?blobName=5442aa49-9767-48f0-82c5-616d29aa037a.pdf&downloadedFileName=P21051-PD-WS-102-REV+0D+-+GROUND+FLOOR+DOMESTIC+WATER+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=e22f1750-c4be-4d10-90de-72ea02838ab6.pdf&downloadedFileName=DOH+-+A+-+2000+Architectural+Drawings.pdf, https://www.etenders.gov.za/home/Download/?blobName=af84b373-3176-4e66-ac77-7e7e1b5cb7ae.pdf&downloadedFileName=P21051-PD-MEC-101-REV+0E+-+GROUND+FLOOR+HVAC+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=d80e3928-dc32-479a-90a4-85eee367ecc1.pdf&downloadedFileName=20013_402_A.pdf, https://www.etenders.gov.za/home/Download/?blobName=00824c99-a4d0-4684-8817-861fcfaefea7.pdf&downloadedFileName=P21051-PD-MEC-102-REV+0E+-+ROOF+FLOOR+HVAC+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=1b1a8269-e111-4368-8357-896692f658c5.pdf&downloadedFileName=20013_403_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=59f18769-ebb5-43a3-81e4-8baf53b3f2a2.pdf&downloadedFileName=P21051-PD-WS-101-REV+0D+-+GROUND+FLOOR+DRAINAGE+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=b1e7837a-e765-48c1-b303-942b1158198f.pdf&downloadedFileName=NGWELEZANE+HOSPITAL+-+CIVIL+AND+STRUCTURAL+DRAWINGS.pdf, https://www.etenders.gov.za/home/Download/?blobName=8f09221e-02da-4fa6-b800-a0d10bae9cc7.pdf&downloadedFileName=20013_507_4_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=289823b4-1f21-4c3f-888d-a2c612c0fe6e.pdf&downloadedFileName=20013_300_4_G.pdf, https://www.etenders.gov.za/home/Download/?blobName=41cacc4e-0860-475e-830b-bb3ed73fa0eb.pdf&downloadedFileName=P21051-PD-MEC-103-REV+0E+-+GROUND+FLOOR+CEILING+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=7b61c7ec-bdf5-4dad-bc84-e36938fe1d9e.pdf&downloadedFileName=P21051-PD-MEC-105-REV+0E+-+GROUND+FLOOR+GAS+RETICULATION+LAYOUT.pdf, https://www.etenders.gov.za/home/Download/?blobName=9de72a98-66f6-48c1-8bb8-ea4bd4f3f8c3.pdf&downloadedFileName=20013_407_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=e6370fb6-41dd-4161-8ff1-eda8030ec6ac.pdf&downloadedFileName=20013_404_0.pdf, https://www.etenders.gov.za/home/Download/?blobName=696bc467-3bee-4592-a963-eeac54c724ff.pdf&downloadedFileName=P21051-PD-FIR-201-REV+0A+-+GROUND+FLOOR+FIRE+PROTECTION+LAYOUT.pdf"
Services: General,"Mailing of Accounts Electronic (MMS, SMS)",18/08/2023,Bid No: 01/2023-24,Ga-Segonyana Local Municipality,Request for Quotation,Northern Cape,18.08.2023,22.09.2023,Cnr Voortrekker and School Street - Kuruman - Kuruman - 8460,Bid document to be uploaded on the 24/08/2023,Mrs. Tshegofatso Jarvis,tshego@ga-segonyana.gov.za,053-712-9345,053-712-3581,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=6a50ffd5-aa1f-4ceb-81cd-242ce4391cdf.pdf&downloadedFileName=Advert.pdf
Supplies: General,Supply & delivery of Spongospora lateral flow device,18/08/2023,REQ - 073893,Agricultural Research Council,Request for Quotation,Gauteng,18.08.2023,25.08.2023,KwaMhlanga / Moloto Road R573 - Pretoria - Roodeplaat - 0002,"Please send a picture of the item you quoted us on for your quotation to be considered, 

DON'T SEND ANY OTHER SUPPORTING DOCUMENTS OTHER THAN THE ONES REQUESTED

I receive a high volume of emails and I might not see yours, please be advised anything you need to know about this RFQ is clearly stated.
When submitting your quotation, please also submit the following documents only, for your quotation to be considered.
SBD4 & SBD 6.1 ( Page 5 - 13, PDF)
SARS Tax Pin (PDF)
Proof of CSD",Pearl Ramabodu,ramabodup@arc.agric.za,012-808-8000,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=06d84c3a-e0a0-4182-b103-4df3b91f005e.pdf&downloadedFileName=REQ+-+073893.pdf
Supplies: General,SUPPLY AND DELIVERY OF PIPES AND FITTINGS FOR A PERIOD OF THREE (3) YEARS,18/08/2023,JGDM2022/23-013,Joe Gqabi District Municipality,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,18.09.2023,CNR COLE AND GRAHAM STREET - BARKLY EAST - BARKLY EAST - 9786,N/A,KEITUMETSE SEBOKO,keitu@jgdm.gov.za,045-979-3145,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d9c5799d-b0fd-425e-ae17-9a898d97f13f.pdf&downloadedFileName=PIPES+AND+FETTINGS+-+JGDM202223-013.pdf
Supplies: General,"RFQ16457 - Supply and delivery of extractor fan to Stellenbosch branch
RFQ16479 - Supply and delivery of spray cart",18/08/2023,SGI-RFQ16457 & 16479,Agricultural Research Council,Request for Quotation,Western Cape,18.08.2023,25.08.2023,"R76, Lindley Road - Blydskapweg - Bethlehem - 9700",N/A,Dr Ian Heyns,mahlabar@arc.agric.za,021-809-3554,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=42c11b33-dd6f-43df-95e5-413f473e8c7e.rtf&downloadedFileName=RFQ16479.rtf, https://www.etenders.gov.za/home/Download/?blobName=b25c9ad3-b214-406f-9266-459f8623be0c.rtf&downloadedFileName=RFQ16457.rtf, https://www.etenders.gov.za/home/Download/?blobName=10422dad-4796-4d37-8abc-64f0111c29e8.pdf&downloadedFileName=SBD+4+-+new.pdf, https://www.etenders.gov.za/home/Download/?blobName=306462c7-9ed1-4bf8-bb85-a8a111145a69.pdf&downloadedFileName=SBD+6.1+Regulation+2022.pdf"
Supplies: General,Supply of Tractor and Other Related Machinery,18/08/2023,Bid No: 02/2023-24,Ga-Segonyana Local Municipality,Request for Quotation,Northern Cape,18.08.2023,15.09.2023,Cnr Voortrekker and School Street - Kuruman - Kuruman - 8460,Bid document to be uploaded on the 24/08/2023,Mr. H. Kruger,pesau@ga-segonyana.gov.za,053-712-9391,053-712-3581,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=9fafa3b3-57c9-441c-aacf-6ea38c0b60d4.pdf&downloadedFileName=Advert.pdf
Construction,Application for the appointment of a service provider for KZN Provincial Legislature: Redesign and replacement of HVAC System and alterations in the main chamber,18/08/2023,ZNTM01225W- Wims 068170,Kwazulu Natal - Public Works (Head Office),Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,11.09.2023,191 Prince Alfred Street - Pietermaritzburg - Pitermaritzburg - 3200,"At no cost via e-tender portal or at a non-refundable cost of R 330.00 is payable for collection of the tender documents at  KZN Department of Public Works, 191 Prince Alfred Street (O.R. Tambo Building) Pietermaritzburg, during working hours 09h00 am to 15h00 pm. Proof of payment must be submitted for collection of bid document .",Mr L Wilson,lyle.wilson@kznworks.gov.za,033-355-5431,000-000-0000,Yes,Yes,"Tuesday, 29 August 2023 - 10:00","KZN Department of Public Works Head office, Auditorium, 191 Prince Alfred Street, Pietermaritzburg,",https://www.etenders.gov.za/home/Download/?blobName=320f089b-d0b4-4e6e-9e27-14b1b82ed936.pdf&downloadedFileName=ZNTM01225W+-+068170.pdf
Wholesale and retail trade and repair of motor vehicles and motorcycles,Expression of Interest (EOI) The Provision of Toyota Land Cruiser 79 Series Armoured Cab Solutions,18/08/2023,CSIR EOI 8078/01/09/2023,Council for Scientific and Industrial Research (CSIR),Expression of interest,National,18.08.2023,01.09.2023,627 Meiring Naude - Pretoria - Pretoria - 0081,N/A,SCM,tender@csir.co.za,012-841-2911,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c1a5f0de-7ab2-4bd6-9b34-df45e371d933.pdf&downloadedFileName=CSIR+EOI+8078-01-09-2023.pdf
"Travel agency, tour operator, reservation service and related activities",Provision of Travel Agency Services,18/08/2023,Bid No: 03/2023-24,Ga-Segonyana Local Municipality,Request for Quotation,Northern Cape,18.08.2023,22.09.2023,Cnr Voortrekker and School Street - Kuruman - Kuruman - 8460,Bid document to be uploaded on the24/08/2023,Mr. Thapelo Bosiame,bosiamet@ga-segonyana.gov.za,053-712-9349,053-712-3581,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=410e495c-d78f-452c-9d34-3a524f09dab2.pdf&downloadedFileName=Advert.pdf
Construction,REPLACEMENT OF CHILLER,18/08/2023,ZNB 9818/2023-H,Kwazulu Natal - Health,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,100 Phoenix Hwy - Phoenix - Durban - 4068,N/A,Ms L Bishun,lushe.bishun@kznhealth.gov.za,060-769-1473,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 11:00",MAHATMA GANDHI HOSPITAL – MAINTENANCE DEPARTMENT,"https://www.etenders.gov.za/home/Download/?blobName=8dfc1c0c-e5c7-4a69-adb7-7cf6fe13e4bf.pdf&downloadedFileName=Advert+form+-+ZNB+9818-2023-H+chiller++-+gandhi+hospital.pdf, https://www.etenders.gov.za/home/Download/?blobName=62a4164b-27de-4741-bab4-99ecccf7c0f8.pdf&downloadedFileName=ZNB+9818-2023-H+-Replacement+of+Chillers+-+Mahatma+Gandhi+Hospital.pdf"
Supplies: General,"SUPPLY, DELIVERY OFFLOADING OF LIQUID CHLORINE, SODIUM HYPOCHLORITE, CHLORINE GRANULES, CHLORINE CHIPS, SODA ASH AND LIME FOR A PERIOD OF THREE (3) YEARS",18/08/2023,JGDM2022/23-012,Joe Gqabi District Municipality,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,19.09.2023,CNR COLE AND GRAHAM STREET - BARKLY EAST - BARKLY EAST - 9786,N/A,KEITUMETSE SEBOKO,keitu@jgdm.gov.za,045-979-3145,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=d53f818d-6c8c-4a32-8e6a-2d02f8adc212.pdf&downloadedFileName=SUPPLY%2C+DELIVERY+AND+OFFLOADING+OF+LIQUID+CHLORINE+-+JGDM202223-012.pdf
Supplies: Stationery/Printing,SUPPLY AND DELIVERY OF STATIONERY ITEMS FOR TOURISM KWAZULU-NATAL,18/08/2023,RFQ10296,KwaZulu-Natal Tourism Authority,Request for Quotation,KwaZulu-Natal,18.08.2023,29.08.2023,29 Canal Quay (Signal Road) - Point - Durban - 4001,"Please refer to ""Details for supplier"" letter attached.",Kiara Mohan,Kiara@zulu.org.za,031-366-7563,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=d0db5177-261e-44cb-8e26-1bac85e2a573.docx&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022.docx, https://www.etenders.gov.za/home/Download/?blobName=338c29a6-a611-4cf5-95dc-89cdbb7d4ac4.pdf&downloadedFileName=Revised+SBD+4.pdf, https://www.etenders.gov.za/home/Download/?blobName=9d11a889-0755-41c7-abce-ae1d306251de.pdf&downloadedFileName=Request+for+Stationery+Aug+2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=a57da975-027c-4300-bb08-ff62a702fd8e.pdf&downloadedFileName=RFQ10296+Details+for+Supplier.pdf"
